,TP Sex ratio (males per 100 females),TP18 Sex ratio (males per 100 females),TP65 Sex ratio (males per 100 females),One Race White,One Race Black or African American,One Race American Indian and Alaska Native,One Race Asian,One Race Asian Indian,One Race Chinese,One Race Filipino,One Race Japanese,One Race Korean,One Race Vietnamese,One Race Other Asian,One Race Native Hawaiian and Other Pacific Islander,One Race Some other race,Two Plus White and Black or African American,Two Plus White and American Indian and Alaska Native,Two Plus White and Asian,Two Plus Black or African American and American Indian and Alaska Native,        Hispanic or Latino (of any race),Latino - Mexican,Latino - Puerto Rican,Latino - Cuban,            Other Hispanic or Latino,"Citizen, 18 and over population",CVAP Male,CVAP Female
"Congressional District 2 (116th Congress), Iowa!!2019 Estimate",98.8,97.1,81.2,675691.319396,37368.933014,2287.8938580000000,19065.782150000000,4575.787716000000,6101.050288,1525.262572,762.631286,1525.262572,1525.262572,2287.8938580000000,0.0,9151.575432000000,264.65028200000000,81.43085600000000,122.14628400000000,0.0,45413.362000000000,32885.538,1565.978,1565.978,9395.868,589622.0,289504.402,300117.598
"Congressional District 3 (116th Congress), Iowa!!2019 Estimate",97.2,95.5,79.4,735368.47902,43355.057720000000,2501.25333,30848.791070000000,4168.75555,3335.00444,2501.25333,0.0,1667.50222,6670.00888,12506.26665,833.75111,6670.00888,86.51334000000000,43.25667000000000,72.09445000000000,0.0,61068.240000000000,45801.18000000000,1696.3400000000000,848.1700000000000,12722.55,614259.0,299144.13300000000,315114.867
"Congressional District 4 (116th Congress), Iowa!!2019 Estimate",102.4,100.5,82.8,679087.975775,14682.98326,3670.745815,12480.535771000000,734.149163,3670.745815,734.149163,0.0,2936.596652,1468.298326,2202.447489,734.149163,8809.789956,125.98269600000000,47.243511000000000,78.739185,0.0,57742.069000000000,44993.82,2249.6910000000000,0.0,10498.558000000000,563102.0,280987.898,282114.102
"Congressional District 1 (116th Congress), Kansas!!2019 Estimate",101.0,101.7,81.7,593981.220966,18920.903512000000,6081.718986000000,10811.944864000000,1351.4931080000000,2702.9862160000000,1351.4931080000000,1351.4931080000000,675.7465540000000,2027.239662,2027.239662,1351.4931080000000,27029.86216,150.01156800000000,150.01156800000000,93.75723000000000,18.751446000000000,113897.67200000000,92368.23400000000,3472.4900000000000,2083.494,15973.454,501367.0,253190.335,248176.665
"Congressional District 2 (116th Congress), Kansas!!2019 Estimate",98.9,96.5,81.8,592543.2942720000,32233.257906000000,8915.581974,10973.023968000000,685.8139980000000,3429.06999,1371.6279960000000,685.8139980000000,685.8139980000000,685.8139980000000,2743.2559920000000,0.0,11658.837966000000,360.804024,511.13903400000000,150.33501,30.067002000000000,50827.55100000000,40089.336000000000,2147.643,1431.762,7158.81,544073.0,267139.843,276933.157
"Congressional District 3 (116th Congress), Kansas!!2019 Estimate",96.5,94.4,79.2,594526.2710000000,63215.45160000000,2257.6947,38380.8099,11288.4735,7525.649,2257.6947,1505.1298000000000,3010.2596000000000,1505.1298000000000,12041.038400000000,752.5649000000000,27092.336400000000,327.54120000000000,191.0657,191.0657,27.2951,97482.5,72526.98000000000,4679.16,1559.72,18716.64,540910.0,260718.62000000000,280191.38
"Congressional District 4 (116th Congress), Kansas!!2019 Estimate",98.3,96.6,82.3,565549.495875,46265.953875,6214.829625,23478.24525,2071.609875,1381.07325,1381.07325,0.0,0.0,8286.4395,9667.51275,0.0,17953.952250000000,553.152375,455.53725,195.23025,32.538375,93276.675,75199.8,2892.3,723.075,15184.575,517398.0,254042.418,263355.582
"Congressional District 1 (116th Congress), Kentucky!!2019 Estimate",99.1,96.3,79.4,621961.5686960000,49083.77656,2804.7872320000000,4207.180848,701.1968080000000,701.1968080000000,1402.3936160000000,701.1968080000000,701.1968080000000,0.0,701.1968080000000,1402.3936160000000,5609.574464000000,181.579112,33.014384,82.53596,0.0,22248.824,15789.488000000000,2153.112,717.7040000000000,3588.52,555777.0,272330.73,283446.27
"Congressional District 2 (116th Congress), Kentucky!!2019 Estimate",96.8,94.5,82.5,673172.3963250000,39287.2779,1511.0491500000000,15866.016075,3777.622875,755.5245750000000,2266.5737250000000,755.5245750000000,755.5245750000000,755.5245750000000,7555.24575,755.5245750000000,6044.196600000000,251.84152500000000,77.4897,58.117275,0.0,26346.498000000000,14723.043,2324.6910000000000,1549.794,7748.97,577344.0,279434.496,297909.504
"Congressional District 3 (116th Congress), Kentucky!!2019 Estimate",93.4,90.4,73.8,513827.87531200000,166686.05264,1449.4439360000000,20292.215104,8696.663616,2174.165904,2174.165904,724.7219680000000,1449.4439360000000,1449.4439360000000,2898.8878720000000,724.7219680000000,4348.331808,231.673416,53.463096,71.284128,17.821032,45295.123,16335.946000000000,1485.086,17078.489,9653.059000000000,548524.0,260000.376,288523.624
