,TP Sex ratio (males per 100 females),TP18 Sex ratio (males per 100 females),TP65 Sex ratio (males per 100 females),One Race White,One Race Black or African American,One Race American Indian and Alaska Native,One Race Asian,One Race Asian Indian,One Race Chinese,One Race Filipino,One Race Japanese,One Race Korean,One Race Vietnamese,One Race Other Asian,One Race Native Hawaiian and Other Pacific Islander,One Race Some other race,Two Plus White and Black or African American,Two Plus White and American Indian and Alaska Native,Two Plus White and Asian,Two Plus Black or African American and American Indian and Alaska Native,        Hispanic or Latino (of any race),Latino - Mexican,Latino - Puerto Rican,Latino - Cuban,            Other Hispanic or Latino,"Citizen, 18 and over population",CVAP Male,CVAP Female
"Congressional District 1 (116th Congress), Alabama!!2019 Estimate",93.1,88.8,79.2,469886.73553800000,192449.87374800000,7023.71802,9833.205228000000,1404.743604,1404.743604,2107.115406,0.0,0.0,2809.487208,1404.743604,0.0,7726.089822000000,105.46338600000000,90.397188,75.33099,0.0,23675.454,10761.57,2869.752,1434.876,8609.256,546223.0,256178.58700000000,290044.413
"Congressional District 2 (116th Congress), Alabama!!2019 Estimate",93.2,89.5,75.5,415796.61456,213195.07944,1986.2895600000000,8607.254760000000,1324.19304,662.09652,1324.19304,662.09652,2648.38608,0.0,1324.19304,0.0,9269.351280000000,102.58784,38.470440000000000,38.470440000000000,0.0,26321.88,14848.240000000000,4724.44,674.92,6749.2,513747.0,242488.584,271258.416
"Congressional District 3 (116th Congress), Alabama!!2019 Estimate",94.9,91.0,79.2,486221.6281520000,185596.93498400000,2117.075304,12702.451824000000,705.691768,3528.4588400000000,705.691768,0.0,6351.225912000000,0.0,705.691768,705.691768,7056.9176800000000,97.63385600000000,36.612696,36.612696,0.0,20818.984,10768.44,2871.584,0.0,7178.96,550776.0,262169.37600000000,288606.624
"Congressional District 4 (116th Congress), Alabama!!2019 Estimate",96.3,95.4,78.8,585968.438328,49955.83460400000,3375.3942300000000,3375.3942300000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.078846,20252.36538,74.24492400000000,98.99323200000000,24.748308000000000,0.0,47434.257000000000,24060.855000000000,3437.265,687.453,19936.137,516456.0,251514.07200000000,264941.928
"Congressional District 5 (116th Congress), Alabama!!2019 Estimate",95.2,93.2,78.0,537544.2690000000,131160.80163600000,3583.6284600000000,12184.336764000000,2866.9027680000000,3583.6284600000000,716.7256920000000,0.0,1433.4513840000000,1433.4513840000000,716.7256920000000,0.0,12901.062456000000,153.05846400000000,172.19077200000000,76.52923200000000,0.0,40472.19,27962.604,4415.148,735.8580000000000,7358.58,563216.0,270343.68,292872.32
"Congressional District 6 (116th Congress), Alabama!!2019 Estimate",92.6,90.7,78.6,540541.40799,110033.8744,2750.84686,11003.38744,4126.2702900000000,2063.1351450000000,687.711715,687.711715,1375.42343,687.711715,1375.42343,0.0,12378.810870000000,71.35971,35.679855,47.57314000000000,11.893285000000000,35679.855000000000,20988.150000000000,3498.025,2798.42,8395.26,527401.0,251042.87600000000,276358.124
"Congressional District 7 (116th Congress), Alabama!!2019 Estimate",89.2,84.4,72.9,226395.38844,414396.23732000000,1323.9496400000000,7943.69784,1323.9496400000000,3309.8741,1323.9496400000000,0.0,0.0,1323.9496400000000,661.9748200000000,0.0,3971.84892,40.200900000000000,16.080360000000000,8.040180000000000,8.040180000000000,24790.555000000000,14740.330000000000,670.015,670.015,8710.195000000000,513517.0,234163.752,279353.248
"Congressional District (at Large) (116th Congress), Alaska!!2019 Estimate",108.4,108.6,97.8,432549.39069,20886.341295,106452.96531,40425.176700000000,673.752945,1347.50589,23581.353075,2021.2588350000000,5390.02356,673.752945,6063.776505,9432.541230000000,11453.800065,577.92055,1964.9298700000000,924.6728800000000,115.58411000000000,52671.240000000000,28530.255,6583.905000000000,1463.09,16093.990000000000,533151.0,278304.822,254846.17800000000
"Congressional District 1 (116th Congress), Arizona!!2019 Estimate",104.1,100.6,90.0,483522.777648,21088.220832000000,173224.67112000000,12050.411904000000,2259.452232,2259.452232,3765.7537200000000,753.1507440000000,753.1507440000000,753.1507440000000,1506.3014880000000,1506.3014880000000,33891.78348,173.62353600000000,347.24707200000000,231.49804800000000,28.937256000000000,179880.24000000000,156417.6,3910.44,782.088,18770.112,579140.0,291886.56,287253.44
"Congressional District 2 (116th Congress), Arizona!!2019 Estimate",97.9,96.4,85.7,570966.8989920000,30014.152392000000,9772.049616000000,19544.099232000000,2792.014176,4188.021264,3490.01772,1396.007088,3490.01772,2792.014176,2094.010632,1396.007088,32108.163024000000,281.547648,422.32147200000000,492.7083840000000,35.193456,215559.91800000000,187698.432,6598.773000000000,1466.394,20529.516,555917.0,274067.081,281849.919
"Congressional District 3 (116th Congress), Arizona!!2019 Estimate",100.8,100.5,83.0,568477.8464400000,33574.53052800000,35100.645552,12971.977704000000,1526.1150240000000,3052.2300480000000,3815.2875600000000,0.0,763.0575120000000,763.0575120000000,2289.1725360000000,763.0575120000000,75542.69368800000,307.78790400000000,615.5758080000000,115.420464,115.420464,521796.6810000000,482521.662,6412.2480000000000,3206.1240000000000,28855.116,498408.0,252692.856,245715.144
"Congressional District 4 (116th Congress), Arizona!!2019 Estimate",101.5,101.8,93.1,701819.276752,13588.755928000000,17585.448848000000,7993.385840000000,799.3385840000000,799.3385840000000,2398.0157520000000,799.3385840000000,799.3385840000000,799.3385840000000,1598.6771680000000,799.3385840000000,31174.204776000000,211.395328,211.395328,132.12208,0.0,169281.41500000000,143682.762,2477.289,2477.289,20644.075,646034.0,326893.204,319140.796
"Congressional District 5 (116th Congress), Arizona!!2019 Estimate",96.6,94.2,77.2,677102.5264730000,32670.80948,8984.472607,43288.82256100000,10618.013081000000,8984.472607,9801.242844,1633.540474,1633.540474,5717.391659000000,4900.621422,816.770237,22052.796399000000,331.46763,132.587052,331.46763,33.146763,141086.222,113888.87800000000,7649.253000000000,849.917,18698.174000000000,601179.0,292172.994,309006.006
"Congressional District 6 (116th Congress), Arizona!!2019 Estimate",97.6,94.5,82.3,648258.902298,23544.512190000000,14911.524387,44734.573161,21190.060971000000,6278.5365840000000,4708.902438,2354.451219,3139.2682920000000,3139.2682920000000,3924.085365,784.8170730000000,22759.695117,241.23141600000000,180.92356200000000,331.69319700000000,0.0,145879.809,119800.737,4889.826,2444.913,18744.333,603700.0,290379.7,313320.3
"Congressional District 7 (116th Congress), Arizona!!2019 Estimate",98.1,98.1,85.2,601297.349184,81657.664704,20620.6224,20620.6224,3299.299584,3299.299584,5773.774272000000,0.0,824.824896,2474.474688,4948.949376,4124.1244800000000,68460.466368,261.2799360000000,87.09331200000000,145.15552000000000,87.09331200000000,546467.84,495236.48,7684.704000000000,2561.568,40985.088,472749.0,233538.006,239210.994
"Congressional District 8 (116th Congress), Arizona!!2019 Estimate",92.6,89.2,83.4,637391.4324480000,39259.617216,10007.353408000000,29252.263808000000,9237.556992000000,3079.1856640000000,6928.167744000000,1539.5928320000000,2309.3892480000000,4618.778496000000,2309.3892480000000,769.7964160000000,25403.281728000000,201.233088,86.24275200000000,402.466176,28.747584000000000,172485.50400000000,138148.11200000000,4791.264,1597.088,27949.04,595539.0,280498.869,315040.131
"Congressional District 9 (116th Congress), Arizona!!2019 Estimate",102.4,101.8,82.3,591588.0087,55141.35900000000,28358.413200000000,41749.8861,16542.407700000000,9452.8044,3938.6685,1575.4674000000000,2363.2011,1575.4674000000000,6301.869600000000,2363.2011,37023.48390000000,373.3956,217.81410000000000,280.04670000000000,0.0,217814.1,188335.5,4913.1,1637.7,22927.8,584808.0,291234.384,293573.616
"Congressional District 1 (116th Congress), Arkansas!!2019 Estimate",98.0,96.2,78.9,539290.3142880000,122629.32211200000,2090.2725360000000,3483.7875600000000,696.7575120000000,696.7575120000000,1393.5150240000000,0.0,0.0,696.7575120000000,696.7575120000000,2090.2725360000000,6270.817608000000,178.32390400000000,356.64780800000000,22.290488000000000,22.290488000000000,24447.632,17976.2,2876.192,0.0,3595.2400000000000,548521.0,268775.29,279745.71
"Congressional District 2 (116th Congress), Arkansas!!2019 Estimate",93.0,89.6,77.0,529917.0786000000,174393.61485,2993.8818000000000,11975.527200000000,2993.8818000000000,2245.41135,2245.41135,748.4704500000000,748.4704500000000,748.4704500000000,2245.41135,0.0,11227.05675,230.2986,76.7662,57.57465,38.3831,41453.74800000000,29938.818,767.662,767.662,9979.606000000000,576874.0,271707.65400000000,305166.346
"Congressional District 3 (116th Congress), Arkansas!!2019 Estimate",96.6,95.0,79.9,670507.9218300000,24803.992335,8801.416635,24803.992335,7201.159065,3200.5151400000000,2400.3863550000000,800.1287850000000,1600.2575700000000,2400.3863550000000,7201.159065,8801.416635,35205.66654,232.16172000000000,406.28301,174.12129000000000,0.0,123543.201,83744.049,3316.596,829.149,35653.407,579984.0,280712.256,299271.744
"Congressional District 4 (116th Congress), Arkansas!!2019 Estimate",94.7,92.6,81.7,509569.95330000000,133589.96073,3443.040225,4820.256315,0.0,1377.2160900000000,0.0,0.0,0.0,688.6080450000000,2065.8241350000000,1377.2160900000000,21346.849395,93.358685,106.69564,26.67391,0.0,42116.7,36501.14000000000,701.945,0.0,5615.56,530036.0,254417.28,275618.72000000000
"Congressional District 1 (116th Congress), California!!2019 Estimate",100.8,100.1,87.6,571095.88624,10775.39408,10775.39408,20203.8639,2693.84852,2020.3863900000000,3367.31065,1346.92426,673.46213,1346.92426,8755.00769,2020.3863900000000,22224.25029,269.10009000000000,999.5146200000000,345.9858300000000,0.0,108921.465,86140.505,2847.62,1423.81,17797.625,548314.0,275253.628,273060.372
"Congressional District 2 (116th Congress), California!!2019 Estimate",97.6,96.6,83.6,537170.7889340000,12101.469588000000,16807.596650000000,26219.850774000000,4033.8231960000000,6723.03866,4706.127062,2689.2154640000000,2016.9115980000000,1344.6077320000000,4706.127062,1344.6077320000000,43699.75129000000,216.780804,614.212278,541.95201,0.0,128934.988,90679.552,2125.302,708.434,35421.700000000000,531039.0,258615.99300000000,272423.007
"Congressional District 3 (116th Congress), California!!2019 Estimate",100.0,99.5,83.4,484972.1746380000,44473.430862,8471.129688,79769.804562,18354.114324000000,15530.404428000000,21883.751694000000,4235.564844,3529.6373700000000,5647.419792000000,10588.912110000000,4941.492318,36708.228648000000,448.9517340000000,698.369364,1047.5540460000000,49.883526,228254.922,195755.049,7558.110000000000,0.0,25697.574,522479.0,260194.542,262284.458
"Congressional District 4 (116th Congress), California!!2019 Estimate",99.0,97.0,87.6,610167.2038560000,12290.097708000000,8675.363088,42653.868516,10844.20386,5783.575392,13013.044632000000,2168.840772,1445.893848,3614.73462,5783.575392,1445.893848,13735.991556000000,174.29538,522.88614,453.16798800000000,0.0,99272.58600000000,69718.152,5304.642,1515.612,23491.986,577133.0,284526.569,292606.431
"Congressional District 5 (116th Congress), California!!2019 Estimate",94.6,92.3,76.2,428382.48,45237.189888,3427.05984,80193.200256,6168.707712,11652.003456,43180.953984,2741.647872,2056.235904,4797.883776,9595.767552,2056.235904,87732.731904,325.280256,365.940288,528.580416,81.320064,209834.808,162640.128,4356.432,1452.144,42112.176,520065.0,251191.395,268873.605
"Congressional District 6 (116th Congress), California!!2019 Estimate",96.0,91.5,84.1,353713.479936,84149.57788800000,4991.924112,108396.066432,13549.508304,23533.356528000000,16402.036368,4991.924112,2852.528064,11410.112256,35656.60080000000,9983.848224,89141.50200000000,1445.0306640000000,550.4878720000000,1789.0855840000000,137.62196800000000,233800.957,194703.807,6255.544,781.943,32841.606,519617.0,244739.60700000000,274877.39300000000
"Congressional District 7 (116th Congress), California!!2019 Estimate",94.3,93.3,68.6,422293.384128,50339.60870400000,4194.9673920000000,124450.69929600000,24470.643120000000,26568.126816000000,31462.25544,3495.8061600000000,2796.644928,18178.192032000000,16779.869568000000,7690.7735520000000,37055.545296000000,920.108288,517.560912,1552.682736,57.506768,131660.232,102150.18000000000,5296.6760000000000,1513.336,22700.04,537108.0,257811.84,279296.16000000000
"Congressional District 8 (116th Congress), California!!2019 Estimate",101.0,99.3,86.3,506196.9070630000,58222.918945000000,10274.632755000000,16439.412408,684.975517,1369.951034,6849.75517,684.975517,2054.926551,684.975517,3424.877585,4109.853102,54113.065843,460.025796,421.69031300000000,268.34838100000000,38.335483,324043.328,282814.601,6509.799000000000,1446.622,33995.617,473737.0,235447.28900000000,238289.711
"Congressional District 9 (116th Congress), California!!2019 Estimate",99.2,96.9,80.3,370263.7452,66368.0298,4890.275880000000,113873.56692,11177.773440000000,12574.995120000000,46108.31544,1397.2216800000000,1397.2216800000000,10479.1626,30040.266120000000,5588.8867200000000,60779.143080000000,777.1064400000000,4748.9838,1381.52256,345.38064,301423.104,264530.172,6279.648,0.0,30613.284,506465.0,249687.245,256777.755
"Congressional District 10 (116th Congress), California!!2019 Estimate",96.7,95.1,78.9,556141.2166440000,25378.02162,5075.604324000000,53656.388568,18127.1583,5075.604324000000,13051.553976000000,725.086332,2175.258996,4350.517992,10876.294980000000,5075.604324000000,41329.920924,238.63600800000000,318.181344,517.0446840000000,0.0,344951.409,312827.331,6118.872,1529.718,24475.488,491086.0,239158.882,251927.11800000000
"Congressional District 11 (116th Congress), California!!2019 Estimate",95.4,93.8,79.2,386916.34176,53021.869056,4299.070464000000,106043.738112,15046.746624,27227.446272000000,25794.422784000000,4299.070464000000,5015.582208000000,8598.140928000000,20062.328832000000,1433.0234880000000,118940.949504,538.9148160000000,195.96902400000000,1126.821888,97.98451200000000,222761.66400000000,159224.83200000000,3827.52,765.504,58178.304,502739.0,242822.937,259916.063
"Congressional District 12 (116th Congress), California!!2019 Estimate",104.9,105.9,84.5,344158.94609600000,42561.234272000000,2935.257536,240691.11795200000,22748.245904,137223.289808,24949.689056,8805.772608,9539.586992,15410.102064,22014.43152,2935.257536,56503.707568,184.038464,230.04808000000000,1334.2788640000000,0.0,118533.24800000000,56147.32800000000,4678.944,3119.2960000000000,54587.68000000000,584273.0,296226.411,288046.589
"Congressional District 13 (116th Congress), California!!2019 Estimate",94.5,92.9,81.2,291877.95329000000,125809.462625,6470.200935000000,148814.62150500000,12221.490655000000,72610.03271500000,23005.158880000000,5032.378505,10783.668225000000,10783.668225000000,15097.135515000000,3594.5560750000000,94896.28038000000,449.8000650000000,199.91114000000000,1349.4001950000000,99.95557000000000,171462.247,115333.35000000000,6151.112,768.889,49208.896,541697.0,256764.378,284932.62200000000
"Congressional District 14 (116th Congress), California!!2019 Estimate",97.0,95.5,77.6,306770.49816,17590.0515,3518.0103000000000,255407.54778000000,21811.66386,120315.95226000000,70360.206,8443.22472,4221.61236,9850.42884,21108.0618,8443.22472,74581.81836,196.8897,157.51176,905.69262,0.0,171628.38,102531.24,2228.94,1485.96,65382.240000000000,501803.0,242370.849,259432.151
"Congressional District 15 (116th Congress), California!!2019 Estimate",100.0,97.1,74.9,299578.55728,35803.290992,3653.3970400000000,271082.060368,95719.00244800000,81836.093696,46032.802704,4384.076448000000,10229.511712,19728.344016000000,12421.549936000000,7306.794080000000,64299.78790400000,361.428144,206.530368,1600.6103520000000,51.632592,168197.08,127516.856,5476.184000000000,782.312,34421.728,502500.0,249742.50000000000,252757.5
"Congressional District 16 (116th Congress), California!!2019 Estimate",98.9,98.9,79.9,408268.63616,38639.710208,8019.5624960000000,67801.755648,16768.176128,3645.2556800000000,3645.2556800000000,1458.1022720000000,729.0511360000000,1458.1022720000000,40826.863616000000,1458.1022720000000,181533.732864,96.403456,144.605184,96.403456,48.201728,467707.392,442853.376,1506.304,753.152,22594.560000000000,423209.0,204409.947,218799.053
"Congressional District 17 (116th Congress), California!!2019 Estimate",106.3,107.0,86.6,207928.631532,17327.385961,4520.187642,418870.72149200000,138619.087688,129578.71240400000,54242.251704,7533.64607,14313.927533000000,48215.334848,27121.125852,6026.916856,64035.991595,111.46317900000000,111.46317900000000,891.7054320000000,0.0,127273.55900000000,98024.356,3162.076,790.519,26087.127,454565.0,232737.28,221827.72
"Congressional District 18 (116th Congress), California!!2019 Estimate",96.4,93.9,80.7,447344.663088,17150.594112,1429.216176,174364.373472,41447.269104,75033.84924,8575.297056,10719.12132,14292.16176,10719.12132,12862.945584000000,1429.216176,35730.4044,156.791648,195.98956,1254.333184,0.0,119101.348,84426.272,1507.612,753.806,32413.658000000000,486648.0,235537.63200000000,251110.36800000000
"Congressional District 19 (116th Congress), California!!2019 Estimate",103.7,103.1,77.4,326879.199675,19515.176100000000,3484.852875,216060.87825000000,34848.52875,34848.52875,40424.29335000000,4181.82345,5575.7646000000000,79454.64555,16727.2938,2090.911725,90606.17475000000,283.95097500000000,283.95097500000000,811.2885000000000,40.56442500000000,287638.65,250761.90000000000,3687.675,1475.07,32451.540000000000,470847.0,237306.888,233540.112
"Congressional District 20 (116th Congress), California!!2019 Estimate",100.5,100.5,82.5,412320.97878,17002.926960000000,4250.731740000000,41090.40682000000,5667.64232,7084.5529,18419.83754,4250.731740000000,2833.82116,708.45529,2125.3658700000000,1416.91058,200492.84707,267.06168,300.44439000000000,367.20981,0.0,401334.358,362016.944,5192.866000000000,1483.676,33382.71,446278.0,221800.16600000000,224477.834
"Congressional District 21 (116th Congress), California!!2019 Estimate",110.0,111.9,91.2,504642.61638000000,20583.172820000000,12065.99786,22712.46656,5678.11664,1419.52916,9226.93954,0.0,0.0,1419.52916,4258.58748,709.76458,129886.91814,137.86794,78.78168000000000,59.08626000000000,19.695420000000000,549283.38,523022.82000000000,5106.220000000000,729.46,20424.880000000000,376921.0,199391.209,177529.791
"Congressional District 22 (116th Congress), California!!2019 Estimate",99.3,95.6,80.9,483633.41466,23448.892832000000,7327.779010000000,61553.343684,7327.779010000000,7327.779010000000,10258.890614000000,2931.1116040000000,2198.333703,4396.667406,27112.782337,1465.5558020000000,120908.353665,252.973693,252.973693,361.39099000000000,0.0,389072.002,357546.405,4613.502,1537.834,24605.344,485479.0,234486.357,250992.643
"Congressional District 23 (116th Congress), California!!2019 Estimate",100.9,102.0,83.9,508464.12974700000,47955.008076,7052.2070700000000,35261.03535,9167.869191,3526.1035350000000,14809.634847,705.220707,1410.441414,705.220707,4231.324242,705.220707,70522.0707,254.35405100000000,327.026637,399.699223,36.336293,301813.699,263994.292,5190.899000000000,741.557,31886.951000000000,499637.0,249818.5,249818.5
"Congressional District 24 (116th Congress), California!!2019 Estimate",100.6,100.2,85.2,571440.893485,14232.6499,8539.58994,35581.62475,4269.79497,9962.85493,10674.487425,2134.897485,2134.897485,2134.897485,4269.79497,711.6324950000000,56218.967105,129.052525,180.673535,309.72606,0.0,272853.91,243356.19,5162.101,737.443,23598.176,510335.0,251595.155,258739.845
"Congressional District 25 (116th Congress), California!!2019 Estimate",99.3,98.1,74.8,463118.1878400000,69709.29504000000,11043.056640000000,59356.429440000000,10352.8656,8282.29248,19325.349120000000,2760.7641600000000,7592.1014400000000,3450.9552,7592.1014400000000,2070.57312,56595.66528000000,201.30572000000000,172.54776,316.33756,0.0,287579.60000000000,214246.802,5032.643000000000,2875.7960000000000,65424.359,490670.0,243862.99000000000,246807.01
"Congressional District 26 (116th Congress), California!!2019 Estimate",98.6,96.9,82.2,561342.07629,13843.2078,4845.12273,46374.74613000000,5537.28312,7613.764290000000,19380.49092,2768.64156,3460.80195,3460.80195,4152.96234,692.16039,33915.859110000000,266.99688000000000,400.49532,433.86993000000000,0.0,335197.17000000000,298194.885,3627.675,1451.07,31923.540000000000,483010.0,234259.85,248750.15
"Congressional District 27 (116th Congress), California!!2019 Estimate",94.5,91.8,78.1,260984.06988400000,26575.401372000000,4769.9438360000000,267798.27536400000,9539.887672000000,173080.819192,19079.775344000000,8858.467124,11584.149316,21124.036988,25212.560276,681.4205480000000,89947.512336,188.17471200000000,156.81226000000000,439.07432800000000,31.362452000000000,198153.67400000000,155386.694,2138.349,1425.566,39203.065,482244.0,230030.388,252213.61200000000
"Congressional District 28 (116th Congress), California!!2019 Estimate",96.5,95.0,81.1,443533.87545600000,17820.557496000000,3300.1032400000000,99663.11784800000,6600.206480000000,17160.536848000000,36961.156288,4620.144536,20460.640088,4620.144536,9900.309720000000,1980.0619440000000,62041.940912000000,299.505168,166.39176,698.8453920000000,0.0,165698.46100000000,93595.365,4159.794,4853.093,63783.508,489048.0,235721.13600000000,253326.864
"Congressional District 29 (116th Congress), California!!2019 Estimate",98.6,96.3,71.9,403476.501708,27730.343760000000,3466.2929700000000,51301.135956,4852.810158000000,2773.0343760000000,27730.343760000000,2773.0343760000000,4159.551564000000,2079.7757820000000,6932.585940000000,693.2585940000000,183020.268816,122.00203000000000,97.60162400000000,195.20324800000000,0.0,480831.53,332276.11700000000,2870.636,1435.318,144249.459,416537.0,202436.982,214100.018
"Congressional District 30 (116th Congress), California!!2019 Estimate",95.0,93.3,76.2,445933.32537000000,32629.267710000000,2175.2845140000000,89911.75991200000,15226.991598000000,10876.42257,26103.414168000000,5075.663866,9426.232894000000,10151.327732,13776.801922000000,725.0948380000000,116015.17408000000,350.704458,155.86864800000000,818.310402,38.967162000000000,223870.166,136767.098,3820.31,3820.31,80226.51,529032.0,252348.26400000000,276683.73600000000
"Congressional District 31 (116th Congress), California!!2019 Estimate",96.4,94.2,77.7,432205.97904000000,80011.68537600000,2857.560192,60008.764032,6429.510432,16430.971104,17859.7512,714.390048,5000.730336000000,5000.730336000000,8572.680576000000,1428.780096,101443.38681600000,431.0454720000000,156.74380800000000,391.85952000000000,39.18595200000000,403163.16000000000,342877.08,5275.032000000000,1507.152,53503.89600000000,498759.0,242396.87400000000,256362.12600000000
"Congressional District 32 (116th Congress), California!!2019 Estimate",94.7,94.0,71.0,335546.849456,17344.369952,5336.729216,128081.50118400000,2668.364608,58704.021376000000,26683.646080000000,3335.4557600000000,2001.2734560000000,22681.099168,12007.640736000000,2668.364608,145425.871136,100.904544,100.904544,201.809088,0.0,427442.86,372786.232,2102.178,2102.178,50452.272000000000,456875.0,219300.0,237575.0
"Congressional District 33 (116th Congress), California!!2019 Estimate",94.8,91.5,85.2,473942.664216,21241.127808000000,1991.355732,108196.99477200000,19913.557320000000,27878.980248,9956.778660000000,15267.060612,20577.342564,3982.711464,9956.778660000000,663.7852440000000,20577.342564,280.859292,160.491024,1163.559924,0.0,95027.58,63351.72,2111.724,2815.632,26044.596000000000,522362.0,249689.036,272672.96400000000
"Congressional District 34 (116th Congress), California!!2019 Estimate",103.0,103.3,70.9,243698.24018800000,35115.020200000000,11939.106868000000,142566.98201200000,4213.802424,27389.715756000000,33710.419392,4916.102828,56184.032320000000,4916.102828,10534.506060000000,702.3004040000000,242293.63938,110.96638400000000,166.44957600000000,277.41596,55.483192000000000,436565.116,286906.506,2920.168,2920.168,144548.31600000000,416264.0,212294.64,203969.36
"Congressional District 35 (116th Congress), California!!2019 Estimate",101.1,98.9,78.7,378460.05285,38499.77505,7990.5193500000000,53754.40290000000,2905.6434,18160.27125,12348.98445,726.41085,4358.4651,6537.697650000000,8716.9302,2905.6434,209206.32480000000,305.85720000000000,267.62505,152.92860000000000,38.232150000000000,544425.8160000000,471020.088,6117.144,2293.929,64994.655000000000,455488.0,225466.56,230021.44
"Congressional District 36 (116th Congress), California!!2019 Estimate",101.3,100.9,91.9,519270.32912000000,35736.30074,9481.05938,28443.17814,729.31226,5105.18582,14586.245200000000,1458.62452,1458.62452,2187.93678,2917.24904,729.31226,109396.83900000000,238.06566000000000,158.71044,105.80696,0.0,368812.832,335559.216,3023.056,1511.528,28719.032,538461.0,271384.344,267076.656
"Congressional District 37 (116th Congress), California!!2019 Estimate",96.6,95.7,72.8,353937.583896,154407.03361200000,3525.27474,64865.05521600000,7755.604428000000,20446.593492000000,6345.494532000000,7755.604428000000,12690.989064000000,2115.164844,7050.54948,705.054948,100117.80261600000,200.291364,57.226104,429.19578000000000,28.613052,293467.2,188552.676,1467.336,1467.336,101979.85200000000,475186.0,229039.65200000000,246146.348
"Congressional District 38 (116th Congress), California!!2019 Estimate",96.0,93.6,80.0,280877.44923000000,32565.50136,6106.031505,109230.11914500000,11533.615065,18318.094515,38671.532865,4749.135615000000,18318.094515,6784.47945,11533.615065,2035.343835,222530.92596000000,78.20116500000000,78.20116500000000,234.60349500000000,0.0,433276.725,376211.01,3522.5750000000000,3522.5750000000000,50020.565000000000,475031.0,231340.097,243690.903
"Congressional District 39 (116th Congress), California!!2019 Estimate",94.9,93.6,84.5,358070.19892800000,11728.696304000000,2069.769936,225604.92302400000,15178.312864000000,93829.57043200000,33116.318976,11038.772992,48294.63184000000,8969.003056000000,15178.312864000000,1379.846624,64162.868016000000,109.010752,81.75806400000000,517.801072,0.0,235950.90400000000,198657.75200000000,4303.0560000000000,2151.5280000000000,30838.568,486371.0,236862.67700000000,249508.323
"Congressional District 40 (116th Congress), California!!2019 Estimate",101.6,97.7,72.7,391996.058954,35891.919222,7741.3943420000000,13371.499318000000,703.763122,1407.526244,4926.341854000000,703.763122,3518.81561,703.763122,1407.526244,703.763122,242094.51396800000,24.341756,12.170878,24.341756,12.170878,638613.128,519768.084,1431.868,5727.472,111685.704,334291.0,163134.008,171156.992
"Congressional District 41 (116th Congress), California!!2019 Estimate",100.0,95.6,72.8,353413.05605600000,69014.137556,6067.176928000000,50812.60677200000,7583.971160000000,8342.368276000000,18201.530784000000,1516.7942320000000,3033.5884640000000,4550.382696000000,7583.971160000000,1516.7942320000000,250271.04828000000,226.575072,84.965652,198.253188,0.0,493272.813,442136.07800000000,4720.314,1573.438,44842.983,479421.0,235875.132,243545.86800000000
"Congressional District 42 (116th Congress), California!!2019 Estimate",97.2,96.9,82.1,485336.29599000000,49248.527580000000,3971.6554500000000,75461.45355000000,7148.979810000000,11120.63526,30184.58142,1588.66218,4765.98654,10326.304170000000,9531.97308,5560.31763,131064.62985,369.84728,277.38546,647.23274,46.23091,350514.35400000000,294196.70000000000,10086.744,5883.934000000000,39506.414,565461.0,280468.656,284992.344
"Congressional District 43 (116th Congress), California!!2019 Estimate",96.9,93.6,75.6,308375.491872,143861.083968,6409.652256000000,85462.03008,5697.468672,12107.120928000000,19228.956768000000,19228.956768000000,17804.589600000000,3560.9179200000000,8546.203008,4273.101504,129617.412288,287.26732800000000,179.54208,394.992576,35.908416000000000,371801.72400000000,275297.85600000000,3740.46,3740.46,89771.04,451030.0,214690.28000000000,236339.72
"Congressional District 44 (116th Congress), California!!2019 Estimate",96.3,93.1,80.9,315969.01544,100723.74728,4829.22076,41393.3208,2069.66604,1379.77736,26905.65852,1379.77736,2069.66604,1379.77736,6898.8868,3449.4434,197308.16248000000,218.01056,81.75396,109.00528,27.25132,512037.9600000000,419526.90000000000,3585.7000000000000,1434.28,88208.22000000000,405957.0,192829.57500000000,213127.42500000000
"Congressional District 45 (116th Congress), California!!2019 Estimate",97.4,94.6,79.8,465820.25505900000,13545.661698,2257.610283,197164.631382,24081.176352,72243.529056,18813.419025,14298.198459,26338.786635,19565.955786,21071.029308000000,1505.073522,34616.691006000000,232.64543400000000,155.096956,1046.904453,0.0,144018.60200000000,108409.60700000000,1582.622,1582.622,32443.751000000000,537433.0,259042.70600000000,278390.294
"Congressional District 46 (116th Congress), California!!2019 Estimate",103.4,101.8,78.1,362411.41946100000,15011.123883,4288.892538,98644.528374,3574.077115,9292.600499,22159.278113000000,2859.261692,6433.338807,44318.55622600000,10007.415922000000,4288.892538,211585.365208,79.342308,39.671154,198.35577,0.0,492216.17000000000,451810.365,2203.953,734.6510000000000,36732.55,419462.0,209731.0,209731.0
"Congressional District 47 (116th Congress), California!!2019 Estimate",96.2,96.3,82.8,360913.9023,47434.398588000000,2749.820208,160864.482168,7562.005572000000,12374.190936000000,36435.117756,6187.095468000000,17186.3763,56371.31426400000,24060.926820000000,2749.820208,83182.061292,120.555792,120.555792,421.945272,30.138948,258333.84,217430.982,2870.376,1435.188,35879.700000000000,483829.0,238043.86800000000,245785.132
