TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",0.5,,,,,
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",1,Total housing units,"308,262","+/-1,355","308,262",(X)
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",2,Occupied housing units,"287,498","+/-2,577",93.3,+/-0.7
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",3,Vacant housing units,"20,764","+/-2,249",6.7,+/-0.7
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",3.3,,,,,
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",4,Homeowner vacancy rate,0.7,+/-0.3,(X),(X)
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",5,Rental vacancy rate,5.4,+/-1.5,(X),(X)
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",5.3,,,,,
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",6,Total housing units,"308,262","+/-1,355","308,262",(X)
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",7,"1-unit, detached","221,353","+/-3,439",71.8,+/-1.1
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",8,"1-unit, attached","14,925","+/-1,471",4.8,+/-0.5
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",9,2 units,"6,614","+/-1,257",2.1,+/-0.4
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",10,3 or 4 units,"11,302","+/-2,023",3.7,+/-0.7
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",11,5 to 9 units,"6,812","+/-1,114",2.2,+/-0.4
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",12,10 to 19 units,"8,968","+/-1,257",2.9,+/-0.4
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",13,20 or more units,"26,049","+/-2,858",8.5,+/-0.9
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",14,Mobile home,"12,052","+/-1,406",3.9,+/-0.5
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",15,"Boat, RV, van, etc.",187,+/-196,0.1,+/-0.1
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",15.3,,,,,
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",15.5,YEAR STRUCTURE BUILT,,,,
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",16,Total housing units,"308,262","+/-1,355","308,262",(X)
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",17,Built 2020 or later,"1,590",+/-652,0.5,+/-0.2
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",18,Built 2010 to 2019,"25,485","+/-2,119",8.3,+/-0.7
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",19,Built 2000 to 2009,"40,232","+/-2,360",13.1,+/-0.8
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",20,Built 1990 to 1999,"31,662","+/-1,968",10.3,+/-0.6
DP04,5001800US2701,"Congressional District 1 (118th Congress), Minnesota",21,Built 1980 to 1989,"28,332","+/-2,448",9.2,+/-0.8
