TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",0.5,,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",1,Total housing units,"457,978",+/-419,"457,978",(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",2,Occupied housing units,"395,656","+/-4,126",86.4,+/-0.9
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",3,Vacant housing units,"62,322","+/-4,191",13.6,+/-0.9
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",3.3,,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",4,Homeowner vacancy rate,1.1,+/-0.3,(X),(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",5,Rental vacancy rate,5.3,+/-1.3,(X),(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",5.3,,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",6,Total housing units,"457,978",+/-419,"457,978",(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",7,"1-unit, detached","267,294","+/-5,055",58.4,+/-1.1
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",8,"1-unit, attached","73,045","+/-3,851",15.9,+/-0.8
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",9,2 units,"5,235","+/-1,117",1.1,+/-0.2
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",10,3 or 4 units,"12,597","+/-1,852",2.8,+/-0.4
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",11,5 to 9 units,"20,975","+/-3,270",4.6,+/-0.7
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",12,10 to 19 units,"21,939","+/-2,599",4.8,+/-0.6
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",13,20 or more units,"23,520","+/-2,237",5.1,+/-0.5
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",14,Mobile home,"32,401","+/-3,317",7.1,+/-0.7
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",15,"Boat, RV, van, etc.",972,+/-713,0.2,+/-0.2
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",15.3,,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",15.5,YEAR STRUCTURE BUILT,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",16,Total housing units,"457,978",+/-419,"457,978",(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",17,Built 2020 or later,"6,164","+/-1,355",1.3,+/-0.3
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",18,Built 2010 to 2019,"60,265","+/-3,494",13.2,+/-0.8
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",19,Built 2000 to 2009,"86,450","+/-4,513",18.9,+/-1.0
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",20,Built 1990 to 1999,"61,173","+/-3,813",13.4,+/-0.8
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",21,Built 1980 to 1989,"53,664","+/-3,713",11.7,+/-0.8
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",22,Built 1970 to 1979,"55,103","+/-3,786",12.0,+/-0.8
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",23,Built 1960 to 1969,"40,817","+/-2,993",8.9,+/-0.7
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",24,Built 1950 to 1959,"38,696","+/-2,872",8.4,+/-0.6
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",25,Built 1940 to 1949,"17,186","+/-2,310",3.8,+/-0.5
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",26,Built 1939 or earlier,"38,460","+/-3,156",8.4,+/-0.7
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",26.3,,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",26.5,ROOMS,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",27,Total housing units,"457,978",+/-419,"457,978",(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",28,1 room,"6,565","+/-1,695",1.4,+/-0.4
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",29,2 rooms,"5,716","+/-1,272",1.2,+/-0.3
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",30,3 rooms,"29,921","+/-3,273",6.5,+/-0.7
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",31,4 rooms,"53,137","+/-4,006",11.6,+/-0.9
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",32,5 rooms,"65,427","+/-4,465",14.3,+/-1.0
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",33,6 rooms,"86,165","+/-4,595",18.8,+/-1.0
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",34,7 rooms,"71,366","+/-4,056",15.6,+/-0.9
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",35,8 rooms,"54,179","+/-3,223",11.8,+/-0.7
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",36,9 rooms or more,"85,502","+/-4,177",18.7,+/-0.9
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",37,Median rooms,6.3,+/-0.1,(X),(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",37.3,,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",37.5,BEDROOMS,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",38,Total housing units,"457,978",+/-419,"457,978",(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",39,No bedroom,"7,048","+/-1,670",1.5,+/-0.4
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",40,1 bedroom,"30,388","+/-2,600",6.6,+/-0.6
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",41,2 bedrooms,"92,325","+/-4,548",20.2,+/-1.0
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",42,3 bedrooms,"198,613","+/-5,612",43.4,+/-1.2
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",43,4 bedrooms,"104,239","+/-5,227",22.8,+/-1.1
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",44,5 or more bedrooms,"25,365","+/-2,443",5.5,+/-0.5
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",44.3,,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",44.5,HOUSING TENURE,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",45,Occupied housing units,"395,656","+/-4,126","395,656",(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",46,Owner-occupied,"287,111","+/-5,513",72.6,+/-1.2
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",47,Renter-occupied,"108,545","+/-5,060",27.4,+/-1.2
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",47.3,,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",48,Average household size of owner-occupied unit,2.54,+/-0.04,(X),(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",49,Average household size of renter-occupied unit,2.29,+/-0.08,(X),(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",49.3,,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",50,Occupied housing units,"395,656","+/-4,126","395,656",(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",51,Moved in 2019 or later,"95,981","+/-4,859",24.3,+/-1.2
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",52,Moved in 2015 to 2018,"87,995","+/-4,825",22.2,+/-1.1
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",53,Moved in 2010 to 2014,"54,312","+/-3,554",13.7,+/-0.9
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",54,Moved in 2000 to 2009,"79,008","+/-4,126",20.0,+/-1.0
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",55,Moved in 1990 to 1999,"40,063","+/-2,983",10.1,+/-0.8
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",56,Moved in 1989 and earlier,"38,297","+/-2,648",9.7,+/-0.7
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",56.3,,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",56.5,VEHICLES AVAILABLE,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",57,Occupied housing units,"395,656","+/-4,126","395,656",(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",58,No vehicles available,"25,752","+/-2,938",6.5,+/-0.7
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",59,1 vehicle available,"134,642","+/-5,109",34.0,+/-1.3
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",60,2 vehicles available,"155,084","+/-5,970",39.2,+/-1.4
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",61,3 or more vehicles available,"80,178","+/-4,611",20.3,+/-1.2
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",61.3,,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",61.5,HOUSE HEATING FUEL,,,,
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",62,Occupied housing units,"395,656","+/-4,126","395,656",(X)
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",63,Utility gas,"168,200","+/-4,740",42.5,+/-1.2
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",64,"Bottled, tank, or LP gas","36,954","+/-2,952",9.3,+/-0.7
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",65,Electricity,"148,031","+/-5,772",37.4,+/-1.4
DP04,5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",66,"Fuel oil, kerosene, etc.","34,587","+/-2,815",8.7,+/-0.7
