TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",0.5,,,,,
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",1,Total housing units,"337,213","+/-4,370","337,213",(X)
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",2,Occupied housing units,"305,610","+/-4,787",90.6,+/-0.9
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",3,Vacant housing units,"31,603","+/-3,057",9.4,+/-0.9
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",3.3,,,,,
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",4,Homeowner vacancy rate,1.2,+/-0.4,(X),(X)
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",5,Rental vacancy rate,4.4,+/-1.6,(X),(X)
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",5.3,,,,,
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",6,Total housing units,"337,213","+/-4,370","337,213",(X)
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",7,"1-unit, detached","254,661","+/-4,246",75.5,+/-1.1
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",8,"1-unit, attached","25,506","+/-2,485",7.6,+/-0.7
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",9,2 units,"2,408",+/-817,0.7,+/-0.2
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",10,3 or 4 units,"5,600","+/-1,101",1.7,+/-0.3
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",11,5 to 9 units,"12,683","+/-1,916",3.8,+/-0.6
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",12,10 to 19 units,"14,624","+/-2,154",4.3,+/-0.6
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",13,20 or more units,"11,659","+/-2,111",3.5,+/-0.6
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",14,Mobile home,"10,005","+/-1,529",3.0,+/-0.4
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",15,"Boat, RV, van, etc.",67,+/-118,0.0,+/-0.1
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",15.3,,,,,
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",15.5,YEAR STRUCTURE BUILT,,,,
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",16,Total housing units,"337,213","+/-4,370","337,213",(X)
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",17,Built 2020 or later,"1,328",+/-565,0.4,+/-0.2
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",18,Built 2010 to 2019,"45,945","+/-3,809",13.6,+/-1.1
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",19,Built 2000 to 2009,"62,687","+/-3,554",18.6,+/-1.0
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",20,Built 1990 to 1999,"60,415","+/-3,729",17.9,+/-1.1
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",21,Built 1980 to 1989,"62,333","+/-3,763",18.5,+/-1.1
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",22,Built 1970 to 1979,"44,547","+/-3,287",13.2,+/-0.9
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",23,Built 1960 to 1969,"21,404","+/-2,478",6.3,+/-0.7
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",24,Built 1950 to 1959,"18,802","+/-2,200",5.6,+/-0.7
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",25,Built 1940 to 1949,"7,965","+/-1,816",2.4,+/-0.5
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",26,Built 1939 or earlier,"11,787","+/-1,720",3.5,+/-0.5
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",26.3,,,,,
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",26.5,ROOMS,,,,
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",27,Total housing units,"337,213","+/-4,370","337,213",(X)
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",28,1 room,"5,395","+/-1,435",1.6,+/-0.4
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",29,2 rooms,"2,859",+/-932,0.8,+/-0.3
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",30,3 rooms,"14,908","+/-2,292",4.4,+/-0.7
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",31,4 rooms,"33,535","+/-3,162",9.9,+/-0.9
DP04,5001800US5101,"Congressional District 1 (118th Congress), Virginia",32,5 rooms,"46,465","+/-2,998",13.8,+/-0.9
