TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",0.5,,,,,
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",0.8,HOUSEHOLDS BY TYPE,,,,
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",1,Total households,"293,397","+/-2,672","293,397",(X)
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",2,Married-couple household,"164,568","+/-4,353",56.1,+/-1.4
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",3,With children of the householder under 18 years,"59,222","+/-3,012",20.2,+/-1.0
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",4,Cohabiting couple household,"16,960","+/-2,433",5.8,+/-0.8
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",5,With children of the householder under 18 years,"4,408","+/-1,346",1.5,+/-0.5
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",6,"Male householder, no spouse/partner present","43,555","+/-2,999",14.8,+/-1.0
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",7,With children of the householder under 18 years,"4,253","+/-1,217",1.4,+/-0.4
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",8,Householder living alone,"30,951","+/-2,749",10.5,+/-0.9
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",9,65 years and over,"10,015","+/-1,290",3.4,+/-0.4
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",10,"Female householder, no spouse/partner present","68,314","+/-3,952",23.3,+/-1.3
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",11,With children of the householder under 18 years,"8,045","+/-1,742",2.7,+/-0.6
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",12,Householder living alone,"42,911","+/-3,063",14.6,+/-1.0
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",13,65 years and over,"24,944","+/-1,941",8.5,+/-0.7
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",13.3,,,,,
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",14,Households with one or more people under 18 years,"83,223","+/-2,949",28.4,+/-1.0
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",15,Households with one or more people 65 years and over,"104,257","+/-2,442",35.5,+/-0.8
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",15.3,,,,,
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",16,Average household size,2.57,+/-0.02,(X),(X)
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",17,Average family size,3.10,+/-0.05,(X),(X)
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",17.3,,,,,
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",17.5,RELATIONSHIP,,,,
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",18,Population in households,"752,975","+/-6,076","752,975",(X)
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",19,Householder,"293,397","+/-2,672",39.0,+/-0.3
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",20,Spouse,"164,376","+/-4,173",21.8,+/-0.5
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",21,Unmarried partner,"17,485","+/-2,374",2.3,+/-0.3
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",22,Child,"222,895","+/-5,567",29.6,+/-0.7
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",23,Other relatives,"43,315","+/-4,530",5.8,+/-0.6
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",24,Other nonrelatives,"11,507","+/-1,868",1.5,+/-0.2
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",24.3,,,,,
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",24.5,MARITAL STATUS,,,,
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",25,Males 15 years and over,"313,500","+/-2,940","313,500",(X)
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",26,Never married,"101,722","+/-4,369",32.4,+/-1.3
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",27,"Now married, except separated","178,716","+/-4,419",57.0,+/-1.3
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",28,Separated,"2,627",+/-921,0.8,+/-0.3
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",29,Widowed,"8,558","+/-1,595",2.7,+/-0.5
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",30,Divorced,"21,877","+/-2,626",7.0,+/-0.8
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",30.3,,,,,
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",31,Females 15 years and over,"326,992","+/-3,043","326,992",(X)
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",32,Never married,"86,711","+/-3,016",26.5,+/-0.9
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",33,"Now married, except separated","171,319","+/-4,831",52.4,+/-1.5
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",34,Separated,"4,614","+/-1,330",1.4,+/-0.4
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",35,Widowed,"29,791","+/-2,375",9.1,+/-0.7
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",36,Divorced,"34,557","+/-2,974",10.6,+/-0.9
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",36.3,,,,,
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",36.5,FERTILITY,,,,
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",37,Number of women 15 to 50 years old who had a birth in the past 12 months,"7,502","+/-1,454","7,502",(X)
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",38,"Unmarried women (widowed, divorced, and never married)","1,449",+/-794,19.3,+/-8.9
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",39,"Per 1,000 unmarried women",17,+/-9,(X),(X)
DP02,5001800US4201,"Congressional District 1 (118th Congress), Pennsylvania",40,"Per 1,000 women 15 to 50 years old",46,+/-9,(X),(X)
